Date,Fib_0,Fib_236,Fib_382,Fib_50,Fib_618,Fib_786,Fib_1,Fib_1_272,Fib_1_618,Fib_Position,Fib_Level_Current,Fib_Distance_Next,Fib_Zone,Fib_Buy_Signal,Fib_Sell_Signal
2018-05-25,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,0.50,0.50,0.12,Zona de Consolidação,0,0
2018-05-29,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,0.50,0.50,0.12,Zona de Consolidação,0,0
2018-05-30,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,0.50,0.50,0.12,Zona de Consolidação,0,0
2018-05-31,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,0.50,0.50,0.12,Zona de Consolidação,0,0
2018-06-01,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,0.50,0.50,0.12,Zona de Consolidação,0,0
2018-06-04,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,0.50,0.50,0.12,Zona de Consolidação,0,0
2018-06-05,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,0.50,0.50,0.12,Zona de Consolidação,0,0
2018-06-06,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,0.50,0.50,0.12,Zona de Consolidação,0,0
2018-06-07,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,0.00,0.00,0.24,Suporte Forte,0,0
2018-06-08,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,0.00,0.00,0.24,Suporte Forte,0,0
2018-06-11,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,0.00,0.00,0.24,Suporte Forte,0,0
2018-06-12,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,0.00,0.00,0.24,Suporte Forte,0,0
2018-06-13,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,0.00,0.00,0.24,Suporte Forte,0,0
2018-06-14,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,0.00,0.00,0.24,Suporte Forte,0,0
2018-06-15,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,0.00,0.00,0.24,Suporte Forte,0,0
2018-06-18,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,0.00,0.00,0.24,Suporte Forte,0,0
2018-06-19,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,0.00,0.00,0.24,Suporte Forte,0,0
2018-06-20,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,0.00,0.00,0.24,Suporte Forte,0,0
2018-06-21,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,0.00,0.00,0.24,Suporte Forte,0,0
2018-06-22,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,0.00,0.00,0.24,Suporte Forte,0,0
2018-06-25,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,0.00,0.00,0.24,Suporte Forte,0,0
2018-06-26,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,0.00,0.00,0.24,Suporte Forte,0,0
2018-06-27,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,0.00,0.00,0.24,Suporte Forte,0,0
2018-06-28,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,0.00,0.00,0.24,Suporte Forte,0,0
2018-06-29,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,0.00,0.00,0.24,Suporte Forte,0,0
2018-07-02,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,0.00,0.00,0.24,Suporte Forte,0,0
2018-07-03,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,0.00,0.00,0.24,Suporte Forte,0,0
2018-07-05,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,0.00,0.00,0.24,Suporte Forte,0,0
2018-07-06,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,0.00,0.00,0.24,Suporte Forte,0,0
2018-07-09,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,0.00,0.00,0.24,Suporte Forte,0,0
2018-07-10,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,0.00,0.00,0.24,Suporte Forte,0,0
2018-07-11,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,0.00,0.00,0.24,Suporte Forte,0,0
2018-07-12,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,0.00,0.00,0.24,Suporte Forte,0,0
2018-07-13,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,0.00,0.00,0.24,Suporte Forte,0,0
2018-07-16,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,0.00,0.00,0.24,Suporte Forte,0,0
2018-07-17,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,0.00,0.00,0.24,Suporte Forte,0,0
2018-07-18,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,0.00,0.00,0.24,Suporte Forte,0,0
2018-07-19,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,0.00,0.00,0.24,Suporte Forte,0,0
2018-07-20,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,0.00,0.00,0.24,Suporte Forte,0,0
2018-07-23,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,0.00,0.00,0.24,Suporte Forte,0,0
2018-07-24,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,0.00,0.00,0.24,Suporte Forte,0,0
2018-07-25,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,0.00,0.00,0.24,Suporte Forte,0,0
2018-07-26,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,0.00,0.00,0.24,Suporte Forte,0,0
2018-07-27,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,0.00,0.00,0.24,Suporte Forte,0,0
2018-07-30,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,0.00,0.00,0.24,Suporte Forte,0,0
2018-07-31,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,0.00,0.00,0.24,Suporte Forte,0,0
2018-08-01,1.80,2.22,2.49,2.70,2.91,3.21,3.60,4.09,4.71,0.00,0.00,0.24,Suporte Forte,0,0
2018-08-02,1.80,2.22,2.49,2.70,2.91,3.21,3.60,4.09,4.71,0.00,0.00,0.24,Suporte Forte,0,0
2018-08-03,1.80,2.22,2.49,2.70,2.91,3.21,3.60,4.09,4.71,0.00,0.00,0.24,Suporte Forte,0,0
2018-08-06,1.80,2.22,2.49,2.70,2.91,3.21,3.60,4.09,4.71,0.00,0.00,0.24,Suporte Forte,0,0
2018-08-07,1.80,2.22,2.49,2.70,2.91,3.21,3.60,4.09,4.71,0.00,0.00,0.24,Suporte Forte,0,0
2018-08-08,1.80,2.22,2.49,2.70,2.91,3.21,3.60,4.09,4.71,0.00,0.00,0.24,Suporte Forte,0,0
2018-08-09,1.80,2.22,2.49,2.70,2.91,3.21,3.60,4.09,4.71,0.00,0.00,0.24,Suporte Forte,0,0
2018-08-10,1.80,2.22,2.49,2.70,2.91,3.21,3.60,4.09,4.71,0.00,0.00,0.24,Suporte Forte,0,0
2018-08-13,1.80,2.22,2.49,2.70,2.91,3.21,3.60,4.09,4.71,0.00,0.00,0.24,Suporte Forte,0,0
2018-08-14,1.80,2.22,2.49,2.70,2.91,3.21,3.60,4.09,4.71,0.00,0.00,0.24,Suporte Forte,0,0
2018-08-15,1.80,2.22,2.49,2.70,2.91,3.21,3.60,4.09,4.71,0.00,0.00,0.24,Suporte Forte,0,0
2018-08-16,1.80,2.22,2.49,2.70,2.91,3.21,3.60,4.09,4.71,0.00,0.00,0.24,Suporte Forte,0,0
2018-08-17,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-08-20,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-08-21,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-08-22,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-08-23,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-08-24,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-08-27,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-08-28,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-08-29,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-08-30,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-08-31,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-09-04,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-09-05,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-09-06,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-09-07,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-09-10,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-09-11,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-09-12,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-09-13,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-09-14,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-09-17,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-09-18,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-09-19,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-09-20,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-09-21,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-09-24,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-09-25,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-09-26,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-09-27,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-09-28,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-10-01,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-10-02,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-10-03,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-10-04,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-10-05,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-10-08,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-10-09,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-10-10,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-10-11,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-10-12,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-10-15,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-10-16,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-10-17,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-10-18,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-10-19,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-10-22,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-10-23,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-10-24,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-10-25,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-10-26,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-10-29,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-10-30,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-10-31,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-11-01,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-11-02,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-11-05,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-11-06,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-11-07,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-11-08,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-11-09,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-11-12,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-11-13,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-11-14,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-11-15,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-11-16,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-11-19,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-11-20,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-11-21,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-11-23,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-11-26,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-11-27,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-11-28,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-11-29,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-11-30,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-12-03,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-12-04,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-12-06,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-12-07,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-12-10,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-12-11,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-12-12,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-12-13,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-12-14,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-12-17,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-12-18,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-12-19,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-12-20,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-12-21,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-12-24,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-12-26,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-12-27,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-12-28,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2018-12-31,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2019-01-02,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2019-01-03,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2019-01-04,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2019-01-07,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2019-01-08,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2019-01-09,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2019-01-10,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2019-01-11,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2019-01-14,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2019-01-15,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2019-01-16,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2019-01-17,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2019-01-18,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2019-01-22,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2019-01-23,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2019-01-24,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2019-01-25,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2019-01-28,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2019-01-29,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2019-01-30,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2019-01-31,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2019-02-01,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2019-02-04,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,,N/A,0.00,Neutra,1,1
2019-02-05,1.80,2.22,2.49,2.70,2.91,3.21,3.60,4.09,4.71,1.00,1.00,0.27,Resistência Forte,0,1
2019-02-06,1.80,2.22,2.49,2.70,2.91,3.21,3.60,4.09,4.71,1.00,1.00,0.27,Resistência Forte,0,1
2019-02-07,1.80,2.22,2.49,2.70,2.91,3.21,3.60,4.09,4.71,1.00,1.00,0.27,Resistência Forte,0,1
2019-02-08,1.80,2.22,2.49,2.70,2.91,3.21,3.60,4.09,4.71,1.00,1.00,0.27,Resistência Forte,0,1
2019-02-11,1.80,2.22,2.49,2.70,2.91,3.21,3.60,4.09,4.71,1.00,1.00,0.27,Resistência Forte,0,1
2019-02-12,1.80,2.22,2.49,2.70,2.91,3.21,3.60,4.09,4.71,1.00,1.00,0.27,Resistência Forte,0,1
2019-02-13,1.80,2.22,2.49,2.70,2.91,3.21,3.60,4.09,4.71,1.00,1.00,0.27,Resistência Forte,0,1
2019-02-14,1.80,2.22,2.49,2.70,2.91,3.21,3.60,4.09,4.71,1.00,1.00,0.27,Resistência Forte,0,1
2019-02-15,1.80,2.22,2.49,2.70,2.91,3.21,3.60,4.09,4.71,1.00,1.00,0.27,Resistência Forte,0,1
2019-02-19,1.80,2.22,2.49,2.70,2.91,3.21,3.60,4.09,4.71,1.00,1.00,0.27,Resistência Forte,0,1
2019-02-20,1.80,2.22,2.49,2.70,2.91,3.21,3.60,4.09,4.71,1.00,1.00,0.27,Resistência Forte,0,1
2019-02-21,1.80,2.22,2.49,2.70,2.91,3.21,3.60,4.09,4.71,1.00,1.00,0.27,Resistência Forte,0,1
2019-02-22,1.80,2.22,2.49,2.70,2.91,3.21,3.60,4.09,4.71,1.00,1.00,0.27,Resistência Forte,0,1
2019-02-25,1.80,2.22,2.49,2.70,2.91,3.21,3.60,4.09,4.71,1.00,1.00,0.27,Resistência Forte,0,1
2019-02-26,1.80,2.22,2.49,2.70,2.91,3.21,3.60,4.09,4.71,1.00,1.00,0.27,Resistência Forte,0,1
2019-02-27,1.80,2.22,2.49,2.70,2.91,3.21,3.60,4.09,4.71,1.00,1.00,0.27,Resistência Forte,0,1
2019-02-28,1.80,2.22,2.49,2.70,2.91,3.21,3.60,4.09,4.71,1.00,1.00,0.27,Resistência Forte,0,1
2019-03-01,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,1.00,1.00,0.27,Resistência Forte,0,1
2019-03-04,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,0.50,0.50,0.12,Zona de Consolidação,0,0
2019-03-05,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,1.00,1.00,0.27,Resistência Forte,0,1
2019-03-06,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,1.00,1.00,0.27,Resistência Forte,0,1
2019-03-07,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,1.00,1.00,0.27,Resistência Forte,0,1
2019-03-08,1.80,2.65,3.18,3.60,4.02,4.63,5.40,6.38,7.62,1.00,1.00,0.27,Resistência Forte,0,1
2019-03-11,1.80,3.07,3.86,4.50,5.14,6.04,7.20,8.67,10.54,0.67,0.62,0.12,Resistência,0,0
2019-03-12,1.80,3.07,3.86,4.50,5.14,6.04,7.20,8.67,10.54,1.00,1.00,0.27,Resistência Forte,0,1
2019-03-13,1.80,3.07,3.86,4.50,5.14,6.04,7.20,8.67,10.54,0.67,0.62,0.12,Resistência,0,0
2019-03-14,1.80,3.07,3.86,4.50,5.14,6.04,7.20,8.67,10.54,1.00,1.00,0.27,Resistência Forte,0,1
2019-03-15,1.80,3.07,3.86,4.50,5.14,6.04,7.20,8.67,10.54,1.00,1.00,0.27,Resistência Forte,0,1
2019-03-18,1.80,3.07,3.86,4.50,5.14,6.04,7.20,8.67,10.54,1.00,1.00,0.27,Resistência Forte,0,1
2019-03-19,1.80,3.07,3.86,4.50,5.14,6.04,7.20,8.67,10.54,0.67,0.62,0.12,Resistência,0,0
2019-03-20,1.80,3.07,3.86,4.50,5.14,6.04,7.20,8.67,10.54,0.67,0.62,0.12,Resistência,0,0
2019-03-21,1.80,3.07,3.86,4.50,5.14,6.04,7.20,8.67,10.54,0.67,0.62,0.12,Resistência,0,0
2019-03-22,1.80,3.07,3.86,4.50,5.14,6.04,7.20,8.67,10.54,0.67,0.62,0.12,Resistência,0,0
2019-03-25,1.80,3.07,3.86,4.50,5.14,6.04,7.20,8.67,10.54,0.67,0.62,0.12,Resistência,0,0
2019-03-26,1.80,3.07,3.86,4.50,5.14,6.04,7.20,8.67,10.54,0.67,0.62,0.12,Resistência,0,0
2019-03-27,1.80,3.07,3.86,4.50,5.14,6.04,7.20,8.67,10.54,0.67,0.62,0.12,Resistência,0,0
2019-03-28,1.80,3.07,3.86,4.50,5.14,6.04,7.20,8.67,10.54,0.67,0.62,0.12,Resistência,0,0
2019-03-29,1.80,3.07,3.86,4.50,5.14,6.04,7.20,8.67,10.54,0.67,0.62,0.12,Resistência,0,0
2019-04-01,1.80,3.07,3.86,4.50,5.14,6.04,7.20,8.67,10.54,0.67,0.62,0.12,Resistência,0,0
2019-04-02,1.80,3.07,3.86,4.50,5.14,6.04,7.20,8.67,10.54,0.67,0.62,0.12,Resistência,0,0
2019-04-03,1.80,3.07,3.86,4.50,5.14,6.04,7.20,8.67,10.54,0.67,0.62,0.12,Resistência,0,0
2019-04-04,1.80,3.07,3.86,4.50,5.14,6.04,7.20,8.67,10.54,0.67,0.62,0.12,Resistência,0,0
2019-04-05,1.80,3.07,3.86,4.50,5.14,6.04,7.20,8.67,10.54,0.67,0.62,0.12,Resistência,0,0
2019-04-08,1.80,3.07,3.86,4.50,5.14,6.04,7.20,8.67,10.54,0.33,0.24,0.05,Suporte,0,0
